Review,cleaned_review,predicted_rating
The AIB mobile app is easy to navigate and has a good layout.,aib mobile app easy navigate good layout,1
I appreciate the security measures implemented in the AIB app.,appreciate security measure implemented aib app,1
The AIB app is user-friendly and convenient to use.,aib app user friendly convenient use,1
The AIB app could use some improvements in its design.,aib app could use improvement design,0
The AIB app is reliable and has never crashed on me.,aib app reliable never crashed,1
I like the ability to view my account balances quickly in the AIB app.,like ability view account balance quickly aib app,1
The AIB app could benefit from more features and options.,aib app could benefit feature option,1
The AIB app is a useful tool for managing my finances on-the-go.,aib app useful tool managing finance go,1
I have never had any issues with the AIB app's functionality.,never issue aib app functionality,0
The AIB app's transaction history feature is easy to access and use.,aib app transaction history feature easy access use,0
The AIB app could use some more customization options.,aib app could use customization option,0
The AIB app's customer support team is responsive and helpful.,aib app customer support team responsive helpful,1
I appreciate the convenience of being able to deposit checks through the AIB app.,appreciate convenience able deposit check aib app,1
The AIB app's notifications keep me informed about my account activity.,aib app notification keep informed account activity,1
The AIB app could use some streamlining to make it more efficient.,aib app could use streamlining make efficient,1
The AIB app's bill payment feature is straightforward and easy to use.,aib app bill payment feature straightforward easy use,1
The AIB app's login process is secure and easy to complete.,aib app login process secure easy complete,0
I like the ability to transfer funds quickly and easily through the AIB app.,like ability transfer fund quickly easily aib app,1
The AIB app's layout is easy on the eyes and intuitive.,aib app layout easy eye intuitive,1
The AIB app could benefit from more tutorials or guides for new users.,aib app could benefit tutorial guide new user,1
The AIB app's ATM locator feature is a helpful tool.,aib app atm locator feature helpful tool,1
I appreciate the AIB app's compatibility with multiple devices.,appreciate aib app compatibility multiple device,1
The AIB app could use some improvements in its search functionality.,aib app could use improvement search functionality,0
The AIB app's interface could be more customizable for individual preferences.,aib app interface could customizable individual preference,1
The AIB app's user interface is straightforward and easy to understand.,aib app user interface straightforward easy understand,1
The AIB app could use some more advanced features for power users.,aib app could use advanced feature power user,0
The AIB app's password recovery process is easy to follow.,aib app password recovery process easy follow,0
I appreciate the ability to view and download account statements through the AIB app.,appreciate ability view download account statement aib app,1
The AIB app's navigation could be more streamlined and efficient.,aib app navigation could streamlined efficient,1
The AIB app's touch ID feature is a helpful addition for quick and secure logins.,aib app touch id feature helpful addition quick secure logins,1
